City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lagoa,0,PT,1567729085.0,94.0,37.14,-8.45,73.99,2.24
sosnovo-ozerskoye,100,RU,1567729085.0,94.0,52.53,111.54,51.43,8.57
bayburt,26,TR,1567729086.0,93.0,40.26,40.22,46.39,1.95
pundaguitan,98,PH,1567729086.0,77.0,6.37,126.17,82.57,3.24
hervey bay,0,AU,1567729086.0,38.0,-25.3,152.85,86.0,12.75
barddhaman,100,IN,1567729086.0,96.0,23.25,87.85,78.25,7.43
xingyi,100,CN,1567729087.0,95.0,24.19,102.82,60.79,2.06
sambava,12,MG,1567729087.0,83.0,-14.27,50.17,64.57,3.78
swan hill,99,AU,1567729087.0,76.0,-35.34,143.56,50.89,17.96
tsaratanana,0,MG,1567729087.0,85.0,-16.8,47.65,57.55,6.31
sao luis,40,BR,1567729088.0,96.0,4.43,-61.14,67.27,2.44
beloha,0,MG,1567729088.0,94.0,-25.17,45.06,65.11,6.33
itaberaba,2,BR,1567729088.0,75.0,-12.52,-40.31,70.69,6.98
kang,56,BW,1567729088.0,29.0,-23.67,22.79,60.79,5.21
burgos,75,ES,1567729088.0,87.0,42.34,-3.7,50.0,8.05
salinas,1,US,1567729077.0,56.0,36.67,-121.66,84.99,13.87
boditi,95,ET,1567729089.0,91.0,6.95,37.86,63.13,2.1
robe,88,ET,1567729089.0,86.0,7.12,40.01,48.55,3.8
la ronge,75,CA,1567728942.0,63.0,55.1,-105.3,60.8,21.92
haimen,60,CN,1567729089.0,69.0,31.87,121.18,84.99,9.28
salamiyah,0,SY,1567729090.0,92.0,35.01,37.05,66.37,5.84
montalvo,0,ES,1567729090.0,71.0,40.62,-5.41,66.0,12.75
dibulla,40,CO,1567729090.0,74.0,11.27,-73.31,86.0,17.22
constitucion,75,MX,1567729090.0,49.0,23.99,-104.67,71.6,5.82
lumeje,0,AO,1567729090.0,23.0,-11.56,20.78,66.91,3.58
kayes,35,ML,1567729091.0,73.0,14.44,-11.44,82.93,8.39
lagos,100,NG,1567729091.0,91.0,6.46,3.39,76.09,6.24
narsaq,100,GL,1567728940.0,79.0,60.91,-46.05,46.4,8.05
denia,0,ES,1567729091.0,80.0,38.84,0.11,75.99,18.5
pirovskoye,89,RU,1567729092.0,97.0,57.63,92.27,43.69,4.0
pradopolis,0,BR,1567729092.0,64.0,-21.36,-48.07,69.8,18.34
soyo,82,AO,1567729092.0,88.0,-6.13,12.37,73.21,9.17
talara,54,PE,1567729092.0,90.0,-4.58,-81.27,62.23,11.52
ambon,0,FR,1567729092.0,81.0,47.55,-2.56,55.0,8.05
makakilo city,20,US,1567729093.0,49.0,21.35,-158.09,91.4,11.41
kampene,41,CD,1567729093.0,83.0,-3.59,26.67,71.95,2.28
salalah,75,OM,1567729093.0,88.0,17.01,54.1,78.8,3.36
aksarka,0,RU,1567729093.0,95.0,66.56,67.8,47.47,8.84
saint-pierre,0,FR,1567729094.0,76.0,48.95,4.24,50.0,5.82
emporia,1,US,1567728906.0,55.0,38.4,-96.18,89.6,10.29
vila franca do campo,75,PT,1567729094.0,72.0,37.72,-25.43,71.01,5.82
assiniboia,0,CA,1567729094.0,35.0,49.63,-105.99,72.85,14.56
nizwa,65,OM,1567729095.0,33.0,22.93,57.53,85.45,3.31
kahului,20,US,1567729040.0,55.0,20.89,-156.47,91.4,19.46
jining,0,CN,1567729095.0,75.0,35.41,116.58,72.49,2.06
hoquiam,1,US,1567729095.0,64.0,46.98,-123.89,82.0,8.05
tigre,0,AR,1567729095.0,71.0,-34.42,-58.58,51.01,13.87
cananeia,100,BR,1567729095.0,92.0,-25.01,-47.93,57.19,2.39
amuntai,79,ID,1567729096.0,71.0,-2.42,115.25,79.15,1.61
krasnokamensk,33,RU,1567729096.0,78.0,50.1,118.04,61.87,3.6
bonfim,52,GY,1567729096.0,74.0,3.36,-59.84,79.87,5.17
jalu,0,LY,1567729096.0,74.0,29.03,21.55,73.75,8.57
yulara,0,AU,1567729097.0,46.0,-25.24,130.99,53.6,17.22
tromso,100,NO,1567729097.0,100.0,69.65,18.96,46.4,8.05
zhuhai,0,CN,1567729097.0,58.0,40.71,112.04,59.0,4.47
fortuna,90,US,1567729097.0,77.0,40.6,-124.16,75.99,12.75
franklin,1,US,1567729097.0,57.0,35.93,-86.87,82.4,9.17
qaqortoq,100,GL,1567729098.0,79.0,60.72,-46.03,46.4,8.05
bathsheba,20,BB,1567729036.0,78.0,13.22,-59.52,82.4,4.7
sondrio,75,IT,1567729098.0,82.0,46.17,9.88,66.0,11.41
omsukchan,100,RU,1567729098.0,93.0,62.53,155.8,42.43,1.7
kaoma,0,ZM,1567729098.0,27.0,-14.8,24.8,62.41,7.67
suluq,0,LY,1567729099.0,69.0,31.67,20.25,78.43,3.11
comendador,75,HT,1567729099.0,70.0,18.88,-71.71,87.8,9.17
chuy,53,UY,1567729099.0,79.0,-33.69,-53.46,49.27,9.42
panama city,1,US,1567729099.0,74.0,30.16,-85.65,91.99,16.11
woodward,1,US,1567729099.0,24.0,36.43,-99.39,93.2,10.29
grindavik,90,IS,1567729100.0,100.0,63.84,-22.43,51.8,2.24
nieuw amsterdam,20,SR,1567729100.0,74.0,5.88,-55.08,84.2,10.29
pimentel,17,BR,1567729100.0,83.0,-3.7,-45.5,75.91,3.33
hayden,1,US,1567729100.0,17.0,47.77,-116.79,89.6,5.82
manado,20,ID,1567729068.0,74.0,1.49,124.85,80.6,3.36
de-kastri,89,RU,1567729101.0,86.0,51.48,140.77,63.67,2.8
nioro,41,GM,1567729101.0,86.0,13.79,-15.05,77.71,4.9
sungairaya,34,ID,1567729101.0,78.0,0.7,108.9,81.13,18.34
kutum,35,SD,1567729101.0,65.0,14.2,24.66,74.65,9.69
hambantota,68,LK,1567729102.0,82.0,6.12,81.12,81.13,16.04
coutances,40,FR,1567729102.0,81.0,49.05,-1.45,55.4,3.36
lavrentiya,95,RU,1567729102.0,84.0,65.58,-170.99,47.29,6.31
filadelfia,100,PY,1567729102.0,41.0,-22.35,-60.04,69.97,4.63
anadyr,75,RU,1567729102.0,71.0,64.73,177.51,50.0,2.24
lalibela,17,ET,1567729103.0,83.0,12.04,39.05,55.57,0.98
mikhaylov,58,RU,1567728872.0,67.0,54.23,39.03,60.25,8.01
lahij,90,YE,1567729103.0,41.0,13.06,44.88,89.05,6.26
newport,71,GB,1567729094.0,81.0,51.59,-3.0,57.2,6.93
garowe,52,SO,1567729103.0,66.0,8.41,48.48,75.01,31.41
pakdasht,0,IR,1567729104.0,31.0,35.48,51.68,75.2,4.7
neiafu,40,TO,1567729104.0,65.0,-18.65,-173.98,78.8,3.36
calvinia,0,ZA,1567729104.0,54.0,-31.47,19.78,53.05,11.39
haverfordwest,97,GB,1567728934.0,82.0,51.8,-4.97,59.0,19.46
kendari,10,ID,1567729105.0,70.0,-3.99,122.52,79.15,3.8
vaitape,45,PF,1567729105.0,80.0,-16.52,-151.75,75.73,23.22
ebeltoft,30,DK,1567729105.0,76.0,56.2,10.68,50.0,10.29
price,1,US,1567729001.0,18.0,39.6,-110.81,87.8,13.87
bandarbeyla,47,SO,1567729106.0,70.0,9.49,50.81,75.73,26.06
poronaysk,87,RU,1567729106.0,90.0,49.22,143.1,63.85,2.24
znamenskoye,100,RU,1567729106.0,86.0,57.13,73.82,45.49,7.83
kamenka,0,MD,1567729106.0,89.0,48.03,28.7,48.99,2.8
nuevo progreso,75,US,1567729106.0,88.0,26.05,-97.95,87.8,3.36
cayenne,0,GF,1567729107.0,83.0,4.94,-52.33,80.6,6.93
natal,0,BR,1567729107.0,78.0,-5.81,-35.21,77.0,10.29
itarema,0,BR,1567729107.0,86.0,-2.92,-39.92,75.37,5.44
nelson bay,40,AU,1567729107.0,87.0,-32.72,152.14,70.0,8.05
sayyan,96,YE,1567729108.0,49.0,15.17,44.32,75.19,2.28
masuguru,2,MZ,1567729108.0,83.0,-11.38,38.46,67.27,2.26
huaihua,17,CN,1567729108.0,79.0,27.56,109.96,72.31,2.04
marzuq,100,YE,1567729108.0,26.0,14.4,46.47,84.01,7.47
pucallpa,40,PE,1567729109.0,331.0,-8.38,-74.54,35.6,4.7
juba,20,EE,1567729109.0,82.0,57.82,26.93,60.8,5.82
lobatse,69,BW,1567729109.0,30.0,-25.21,25.68,68.0,10.29
miandrivazo,17,MG,1567729109.0,83.0,-19.53,45.46,65.29,2.26
simbahan,50,PH,1567729110.0,81.0,6.3,120.58,82.75,10.71
limulunga,0,ZM,1567729110.0,20.0,-15.13,23.15,62.95,4.12
bonavista,66,CA,1567729110.0,81.0,48.65,-53.11,64.0,5.99
yingkou,15,CN,1567729110.0,83.0,40.67,122.24,73.75,11.74
honghu,0,CN,1567729111.0,76.0,29.82,113.46,75.19,5.77
monte alegre,56,BR,1567729111.0,63.0,-2.0,-54.07,81.49,3.87
estelle,0,FR,1567729111.0,39.0,43.97,3.47,66.2,13.87
kuching,75,MY,1567729111.0,94.0,1.56,110.34,77.0,2.24
meridian,1,US,1567728919.0,19.0,43.61,-116.39,99.0,3.96
hailar,17,CN,1567729112.0,78.0,49.2,119.7,64.03,6.04
bud,67,NO,1567729112.0,81.0,62.91,6.91,48.2,10.29
pitimbu,0,BR,1567729112.0,88.0,-7.47,-34.81,75.2,6.93
fare,90,PF,1567729112.0,80.0,-16.7,-151.02,74.65,22.75
rosario do sul,0,BR,1567729113.0,82.0,-30.26,-54.91,48.01,12.01
jishou,52,CN,1567729113.0,85.0,28.26,109.7,68.89,2.13
mandalgovi,99,MN,1567729113.0,56.0,45.76,106.27,64.75,7.56
valparaiso,1,US,1567729113.0,63.0,41.47,-87.06,70.0,4.7
koumac,0,NC,1567729114.0,67.0,-20.56,164.28,68.53,11.45
nerchinskiy zavod,0,RU,1567729114.0,79.0,51.31,119.61,59.71,2.39
north bend,90,US,1567729114.0,88.0,43.41,-124.22,66.0,6.93
jasper,75,US,1567729114.0,39.0,33.83,-87.28,84.99,6.85
cacapava do sul,12,BR,1567729114.0,86.0,-30.51,-53.49,45.49,9.84
dauphin,75,CA,1567728847.0,60.0,51.15,-100.04,71.6,8.05
isangel,40,VU,1567729115.0,64.0,-19.55,169.27,75.2,5.82
manaure,40,CO,1567729115.0,74.0,11.78,-72.45,86.0,17.22
plerin,0,FR,1567729115.0,81.0,48.54,-2.78,53.01,2.24
bambanglipuro,95,ID,1567729115.0,84.0,-7.95,110.28,73.75,7.56
estrela,59,BR,1567729116.0,75.0,-29.5,-51.96,54.0,1.01
sungaipenuh,0,ID,1567729116.0,85.0,-2.08,101.38,72.13,1.57
sao jose da coroa grande,9,BR,1567729116.0,96.0,-8.9,-35.15,70.51,4.54
sai buri,79,TH,1567729116.0,92.0,6.7,101.62,75.55,1.74
stromness,20,CA,1567729116.0,77.0,42.87,-79.55,68.0,6.93
iqaluit,40,CA,1567729117.0,81.0,63.75,-68.52,42.8,2.24
goderich,38,CA,1567729117.0,66.0,43.74,-81.71,60.01,6.93
purranque,90,CL,1567728890.0,81.0,-40.91,-73.16,46.4,3.36
paka,92,CF,1567729117.0,98.0,4.15,15.03,67.27,0.13
kavaratti,97,IN,1567729117.0,80.0,10.57,72.64,82.57,20.62
billings,20,US,1567729042.0,16.0,45.79,-108.5,91.4,6.93
chudniv,0,UA,1567729118.0,78.0,50.05,28.12,53.23,0.83
kirakira,24,SB,1567729118.0,64.0,-10.46,161.92,77.89,14.14
bonthe,100,SL,1567729118.0,92.0,7.53,-12.5,76.81,7.78
fuerte,100,PH,1567729119.0,81.0,17.54,120.36,82.93,23.67
tiarei,75,PF,1567729119.0,54.0,-17.53,-149.33,82.4,9.17
roebourne,0,AU,1567729119.0,33.0,-20.77,117.15,68.71,4.65
aksu,90,KZ,1567729119.0,93.0,52.04,76.93,53.6,6.71
margate,75,AU,1567729120.0,81.0,-43.03,147.26,51.01,1.12
ilulissat,41,GL,1567729120.0,69.0,69.22,-51.1,39.2,2.24
erzin,0,TR,1567729120.0,83.0,36.95,36.2,79.0,3.36
mangrol,90,IN,1567729120.0,80.0,25.33,76.51,82.03,4.59
elbistan,0,TR,1567729120.0,34.0,38.2,37.19,57.55,4.54
amahai,6,ID,1567729121.0,83.0,-3.31,129.0,76.81,9.51
moerai,99,PF,1567729121.0,70.0,-22.43,-151.33,67.81,27.4
rancho palos verdes,20,US,1567729108.0,65.0,33.75,-118.37,96.8,13.87
torres,90,BR,1567729122.0,77.0,-29.34,-49.73,45.85,4.74
boa vista,0,BR,1567729005.0,66.0,2.82,-60.67,86.0,4.7
chihuahua,75,MX,1567729067.0,50.0,28.66,-106.08,79.0,4.7
los algarrobos,0,EC,1567729122.0,83.0,-3.25,-79.94,89.6,6.93
carlos chagas,11,BR,1567729122.0,67.0,-17.7,-40.76,71.59,9.62
muncar,83,ID,1567729122.0,83.0,-8.43,114.34,73.21,1.83
troina,20,IT,1567729123.0,94.0,37.79,14.6,73.99,4.7
balkanabat,0,TM,1567729123.0,26.0,39.51,54.36,73.39,4.45
tingi,18,TZ,1567729123.0,55.0,-11.3,35.03,67.27,6.89
khorixas,0,NA,1567729123.0,45.0,-20.37,14.96,55.39,3.87
port hardy,75,CA,1567728904.0,82.0,50.7,-127.42,59.0,3.36
ribeira brava,40,PT,1567729124.0,68.0,32.65,-17.07,71.6,17.22
harper,90,US,1567729124.0,33.0,30.3,-99.24,91.4,5.82
matay,16,EG,1567729124.0,43.0,28.42,30.79,78.25,4.63
trinidad,75,BO,1567729125.0,57.0,-14.83,-64.9,78.8,2.13
tura,14,RU,1567729125.0,63.0,64.27,100.22,38.83,3.91
marolambo,5,MG,1567729125.0,77.0,-20.05,48.13,54.67,2.39
deer lake,40,CA,1567729125.0,71.0,49.18,-57.43,55.4,11.41
orativ,0,UA,1567729125.0,85.0,49.19,29.53,53.95,2.48
omboue,100,GA,1567729126.0,86.0,-1.57,9.26,74.65,11.03
lazaro cardenas,75,MX,1567729126.0,50.0,28.39,-105.62,80.01,4.7
lundazi,0,ZM,1567729126.0,51.0,-12.29,33.17,65.83,9.64
mount isa,8,AU,1567729126.0,30.0,-20.73,139.49,80.6,9.17
bondoukou,43,CI,1567729126.0,96.0,8.04,-2.8,71.23,1.81
